,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
1482,152.500,15599005,11 Mart 2023,Mercedes - Benz,200,,1984,150.000 km,Düz,LPG & Benzin,Sedan,1801 - 2000 cm3,101 - 125 HP,Arkadan İtiş,Takasa Uygun:,,,,,,,,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
1483,327.500,22131654,10 Mart 2023,Mercedes - Benz,200,E,1990,392.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,,,,,,,,,,,,,,
1484,235.000,22121500,09 Mart 2023,Mercedes - Benz,200,E,1990,524.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Siyah,İlk Sahibiyim,1.198 TL,Takasa Uygun,,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış
1485,220.000,22122569,09 Mart 2023,Mercedes - Benz,200,E,1990,380.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,-,Toplam Tramer Tutarı: 5.000 TL,Lokal Boyanmış,,Lokal Boyanmış,,Lokal Boyanmış,Lokal Boyanmış,Lokal Boyanmış,Lokal Boyanmış,Lokal Boyanmış,Orijinal,Orijinal,Lokal Boyanmış,Lokal Boyanmış
1486,145.000,22112400,08 Mart 2023,Mercedes - Benz,200,D,1986,551.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,-,,,,,,,,,,,,,,
1487,248.000,22103774,07 Mart 2023,Mercedes - Benz,200,E,1990,340.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,-,,,,,,,,,,,,,,
1488,278.000,22106606,06 Mart 2023,Mercedes - Benz,200,E,1990,230.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Kahverengi,İlk Sahibi Değilim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
1489,200.000,22096083,06 Mart 2023,Mercedes - Benz,200,E,1990,455.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,-,,,,,,,,,,,,,,
1490,275.000,22100064,06 Mart 2023,Mercedes - Benz,200,E,1992,360.000 km,Düz,LPG & Benzin,Sedan,1997 cc,136 hp,Arkadan İtiş,Takasa Uygun:,,,,,,,,Tramer tutarı belirtilmemiş,,,,,,,Değişmiş,Değişmiş,,,,,
1491,250.000,22099073,06 Mart 2023,Mercedes - Benz,200,D,1987,283.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
1492,185.000,22088648,05 Mart 2023,Mercedes - Benz,200,E,1989,425.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Füme,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,,,,,,,,,,,,,,
1493,155.000,22090089,05 Mart 2023,Mercedes - Benz,200,E,1990,525.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
